city_name,country,date,lat,lon,max_temp_C,max_temp_F,cloud_cover%,humidity%,wind_speed
Port Augusta,AU,1613566258,-32.5,137.7667,29.439999999999998,84.99199999999999,40.0,54.0,3.09
Ilinge,ZA,1613566258,-31.9768,27.0427,29.710000000000036,85.47800000000007,0.0,17.0,5.74
Ca Mau,VN,1613566258,9.1769,105.15,23.340000000000032,74.01200000000006,2.0,77.0,4.6
Pouembout,NC,1613566259,-21.1333,164.9,25.77000000000004,78.38600000000008,63.0,88.0,2.11
Dunkirk,FR,1613566118,51.05,2.3667,12.78000000000003,55.004000000000055,100.0,79.0,1.34
São Francisco,BR,1613566259,-15.9486,-44.8644,25.510000000000048,77.91800000000009,100.0,81.0,2.47
Norrköping,SE,1613566259,58.5942,16.1826,1.1100000000000136,33.998000000000026,75.0,74.0,8.23
Pilar,BR,1613566259,-9.5972,-35.9567,29.0,84.2,75.0,70.0,5.66
Paso de Carrasco,UY,1613566260,-34.8603,-56.0522,23.0,73.4,75.0,68.0,5.14
Cherëmukhovo,RU,1613566260,60.3484,59.9851,-23.609999999999985,-10.497999999999976,40.0,86.0,0.85
Whitehorse,CA,1613566260,60.7161,-135.0538,-18.889999999999986,-2.001999999999974,1.0,78.0,3.6
La Ligua,CL,1613566260,-32.4524,-71.2311,12.0,53.6,0.0,94.0,1.38
Kabelvåg,NO,1613566261,68.2114,14.4817,0.0,32.0,0.0,43.0,2.06
San Cristobal,VE,1613566261,7.7669,-72.225,22.0,71.6,75.0,100.0,1.03
Issoire,FR,1613566171,45.55,3.25,15.0,59.0,0.0,38.0,1.54
Isangel,VU,1613566261,-19.55,169.2667,27.620000000000005,81.71600000000001,49.0,82.0,1.57
Vostok,RU,1613566262,46.4856,135.8833,-15.649999999999977,3.830000000000041,100.0,95.0,1.49
Otradnoye,RU,1613566262,59.7775,30.8181,-13.889999999999986,6.998000000000022,75.0,66.0,3.0
Inuvik,CA,1613566263,68.3499,-133.7218,-31.99999999999997,-25.59999999999995,92.0,83.0,0.51
Charlestown,AU,1613566263,-32.95,151.6667,22.220000000000027,71.99600000000005,67.0,79.0,4.67
Lixouri,GR,1613566263,38.2019,20.4314,12.0,53.6,40.0,54.0,1.92
Ballina,AU,1613566263,-28.8667,153.5667,21.0,69.80000000000001,75.0,94.0,9.26
Broken Hill,AU,1613566264,-31.95,141.4333,28.0,82.4,0.0,23.0,5.14
Dicabisagan,PH,1613566264,17.0818,122.4157,22.660000000000025,72.78800000000004,64.0,76.0,4.13
Inhambane,MZ,1613566264,-23.865,35.3833,27.0,80.6,75.0,94.0,9.26
Tsimmerbude,RU,1613566265,54.675,20.1347,-1.669999999999959,28.994000000000074,0.0,64.0,4.0
