city_name,country,date,lat,lon,max_temp_C,cloud_cover%,humidity%,wind_speed
Maxixe,MZ,1609884343,-23.8597,35.3472,25.24000000000001,42.0,83.0,2.97
Kachug,RU,1609884343,53.9606,105.8817,-31.789999999999964,100.0,83.0,0.7
Maningrida,AU,1609884343,-12.0667,134.2667,27.05000000000001,100.0,78.0,1.78
Tooele,US,1609884343,40.5308,-112.2983,6.0,90.0,56.0,4.1
La Grande,US,1609884344,45.3246,-118.0877,5.560000000000002,1.0,56.0,6.2
Bertinoro,IT,1609884344,44.1469,12.1389,3.890000000000043,0.0,83.0,1.0
Ingham,US,1609884344,42.6,-84.3833,0.5600000000000023,90.0,98.0,2.6
Gejiu,CN,1609884344,23.306,103.1635,5.28000000000003,62.0,100.0,2.08
Miles City,US,1609884344,46.4083,-105.8406,9.0,20.0,34.0,13.4
Gizo Government Station,SB,1609884345,-8.103,156.8419,29.220000000000027,93.0,67.0,3.63
Casablanca,MA,1609883749,33.5928,-7.6192,15.0,75.0,100.0,8.7
Ţahţā,EG,1609884345,26.7693,31.5021,14.0,0.0,76.0,2.6
Zhemtala,RU,1609884346,43.2841,43.6559,-1.0,90.0,86.0,3.0
Touros,BR,1609884346,-5.1989,-35.4608,26.0,20.0,78.0,4.6
Great Yarmouth,GB,1609884346,52.6083,1.7305,5.0,100.0,80.0,6.2
Meulaboh,ID,1609884346,4.1363,96.1285,25.210000000000036,84.0,85.0,1.83
Waipawa,NZ,1609884346,-41.4122,175.5153,19.439999999999998,100.0,88.0,4.1
Crépy-en-Valois,FR,1609884347,49.2336,2.8881,2.2200000000000273,75.0,97.0,3.1
Baturaja,ID,1609884347,-4.1333,104.1667,23.120000000000005,98.0,94.0,0.66
Praia,CV,1609884347,14.9215,-23.5087,25.0,0.0,50.0,6.2
Vila Velha,BR,1609884347,-20.3297,-40.2925,27.0,20.0,74.0,8.7
Cartagena del Chairá,CO,1609884202,1.3349,-74.8429,29.52000000000004,88.0,55.0,1.19
Bugasong,PH,1609884348,11.0439,122.0659,25.660000000000025,89.0,75.0,3.16
Oktyabr'skoye,RU,1609884348,43.0645,44.7417,-3.0,5.0,100.0,2.0
Iringa,TZ,1609884349,-7.7667,35.7,20.0,40.0,88.0,5.1
Honningsvåg,NO,1609884349,70.9821,25.9704,2.0,40.0,86.0,10.3
Kahului,US,1609884300,20.8947,-156.47,28.0,40.0,54.0,7.2
Lincoln,US,1609884350,40.8,-96.667,8.0,1.0,45.0,7.7
Kissidougou,GN,1609884351,9.1848,-10.0999,23.960000000000036,23.0,28.0,0.67
Aksarka,RU,1609884351,66.5606,67.7975,-25.329999999999984,64.0,88.0,7.32
Semey,KZ,1609884352,50.4111,80.2275,-33.51999999999998,77.0,84.0,1.54
Nogliki,RU,1609884352,51.8333,143.1667,-21.559999999999974,100.0,90.0,7.16
